50	471	8306	8169		126	2116	2128		6500
100	959	18290	17943		244	4535	4451		12433
150	1379	24833	24465		358	6565	6351		18157
200	1941	36085	36463		492	8249	8130		23638
250	2390	45232	45404		596	10797	10670		29384
300	2753	50601	50745		702	13613	13393		36913
350	3178	61650	61802		828	14306	13901		41912
400	3673	74334	74381		929	15322	15202		47708
450	4051	80878	80756		1073	18241	18135		53247
500	4529	87962	88085		1171	19908	19822		61812
