100	198	9104	8106		44	2130	2164		2864
200	326	17397	16106		84	4036	3925		5280
300	534	26687	24601		128	6127	5917		8567
400	674	31982	32246		177	8228	7962		10516
500	923	43377	43510		207	9939	9773		13474
600	1039	52033	52231		248	11883	11688		16062
700	1283	59679	60209		287	13883	13824		19166
800	1430	67363	67143		337	16100	15964		22272
900	1646	81667	81413		375	18366	18201		24288
1000	1820	89785	89686		408	20033	20029		26811
